City Name,Country Code,Random Lat,Random Lon,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
colombo,lk,6.750000000049496,78.63000000008628,6.93,79.85,77,94,40,5.82
lagoa,pt,44.990000000069074,-27.54999999996805,37.14,-8.45,71.6,68,0,9.17
cidreira,br,-58.54999999998391,-21.639999999965028,-30.17,-50.22,46.39,82,0,2.77
kikwit,cd,-6.27999999995717,18.74000000005563,-5.04,18.82,64.93,90,0,4.68
bilma,ne,20.13000000005634,10.250000000051287,18.69,12.92,82.3,19,76,5.68
cadillac,us,44.260000000068686,-85.05999999999747,44.25,-85.4,66.58,82,90,3.36
upernavik,gl,89.39000000009179,-53.0599999999811,72.79,-56.15,32.8,95,92,10.49
dalbandin,pk,28.990000000060874,63.68000000007862,28.9,64.41,69.67,18,0,6.96
mahebourg,mu,-52.069999999980595,79.4900000000867,-20.41,57.7,66.2,88,20,6.93
hermanus,za,-63.96999999998668,4.810000000048504,-34.42,19.24,44.23,100,36,4.45
ibra,om,22.88000000005775,58.52000000007598,22.69,58.55,78.25,49,0,0.98
taft,ir,31.15000000006198,53.32000000007332,31.75,54.22,82.4,11,0,9.17
busselton,au,-75.51999999999259,83.66000000008884,-33.64,115.35,63.4,100,88,13.51
thompson,ca,70.51000000008213,-88.91999999999945,55.74,-97.86,68,45,20,8.05
tasiilaq,gl,73.11000000008346,-38.699999999973755,65.61,-37.64,39.2,55,0,10.29
salalah,om,11.050000000051696,59.720000000076595,17.01,54.1,82.4,88,75,10.29
luderitz,na,-30.98999999996981,0.29000000004619153,-26.65,15.16,54.64,91,0,15.12
mantua,cu,24.570000000058613,-86.35999999999814,22.29,-84.28,75.73,87,8,2.55
minas,uy,-33.62999999997116,-55.409999999982304,-34.38,-55.24,53.6,71,0,4.7
yar-sale,ru,70.64000000008218,70.72000000008222,66.83,70.83,50.8,82,80,10.71
mapiripan,co,2.990000000047573,-71.83999999999071,2.89,-72.13,71.77,88,80,5.68
bredasdorp,za,-54.959999999982074,21.900000000057247,-34.53,20.04,46.4,81,24,3.36
tamiami,us,25.880000000059283,-80.52999999999516,25.76,-80.4,81.5,74,20,9.17
hofn,is,57.62000000007552,-16.029999999962158,64.25,-15.21,44.23,100,92,10.04
aligudarz,ir,32.900000000062875,49.41000000007131,33.4,49.69,51.52,52,0,0.76
qaanaaq,gl,72.6400000000832,-83.45999999999665,77.48,-69.36,31.9,100,92,2.77
klaksvik,fo,80.47000000008723,-5.779999999956914,62.23,-6.59,46.4,81,12,16.11
ushuaia,ar,-79.00999999999438,-29.22999999996891,-54.81,-68.31,41,56,40,16.31
komsomolets,kz,53.560000000073444,62.290000000077896,53.75,62.07,65.65,66,24,7.7
jamestown,sh,-34.63999999997168,-3.119999999955553,-15.94,-5.72,71.05,100,64,16.2
hithadhoo,mv,-10.349999999959252,67.05000000008033,-0.6,73.08,84.73,100,80,14.63
vardo,no,86.5000000000903,36.280000000064604,70.37,31.11,47.62,92,48,8.52
ambilobe,mg,-13.21999999996072,49.80000000007152,-13.19,49.05,74.29,73,0,10.6
lunino,ru,53.50000000007341,45.30000000006922,53.59,45.22,68.35,52,44,9.04
ancud,cl,-41.28999999997508,-80.55999999999517,-41.87,-73.83,44.68,77,92,4.23
lotoshino,ru,56.250000000074806,35.86000000006439,56.23,35.64,60.61,62,20,15.86
iquitos,pe,-3.3299999999556604,-72.75999999999118,-3.75,-73.25,71.6,94,8,2.04
qasigiannguit,gl,66.69000000008015,-47.89999999997846,68.82,-51.19,44.6,52,75,4.7
ostrovnoy,ru,70.75000000008225,39.13000000006605,68.05,39.51,57.73,97,76,7.81
paita,pe,-9.049999999958587,-88.05999999999901,-5.09,-81.11,63.58,96,36,4.68
dikson,ru,76.04000000008494,71.91000000008285,73.51,80.55,31.99,97,0,21.56
castro,cl,-47.73999999997838,-81.71999999999576,-42.48,-73.76,43.93,83,68,4.5
lovozero,ru,66.90000000008027,36.770000000064854,68.01,35.02,56.02,81,68,3.11
camocim,br,-1.4499999999546986,-41.05999999997496,-2.9,-40.84,73.48,95,8,8.59
gombe,ng,10.350000000051338,11.660000000052008,10.28,11.16,76.99,76,88,16.31
dingle,ie,49.57000000007139,-17.16999999996274,52.14,-10.27,59.41,95,92,24.52
salinopolis,br,3.7400000000479565,-45.4399999999772,-0.61,-47.36,76.27,100,32,9.04
torbay,ca,46.30000000006973,-46.48999999997774,47.66,-52.73,51.8,100,90,18.34
tripoli,ly,32.590000000062716,13.000000000052694,32.88,13.19,71.95,100,0,6.58
filingue,ne,14.820000000053625,3.0600000000476086,14.35,3.32,81.22,61,0,16.75
forestville,ca,50.130000000071675,-69.88999999998971,48.74,-69.09,55.4,76,20,3.36
