Compound,Count,Date,Negative,Neutral,Positive,Tweet Text,User
0.0,0,Tue Jun 26 21:20:15 +0000 2018,0.0,1.0,0.0,"RT @BBC6Music: Did @kanyewest and @theweeknd ""blatantly"" rip off @nineinchnails' live show?

Weds, Noon BST: Nine Inch Nails' @trent_reznor…",@BBC
0.0,1,Tue Jun 26 19:05:08 +0000 2018,0.0,1.0,0.0,"😎🔥🍦 Hot temperatures in the UK are expected to last until the weekend.
👉 https://t.co/ZhZVaKJuqf

#HeatwaveUK https://t.co/smTw2ule2v",@BBC
0.296,2,Tue Jun 26 18:03:06 +0000 2018,0.074,0.792,0.134,"Tonight, @itsanitarani and @bbcnickrobinson ask tough questions about the NHS in a special live event. 

 NHS at 70… https://t.co/Wu4ECf7qic",@BBC
0.0,3,Tue Jun 26 17:02:02 +0000 2018,0.0,1.0,0.0,How would you feel if the builder only made you half a house? https://t.co/yaWB0USzex,@BBC
0.0,4,Tue Jun 26 16:33:41 +0000 2018,0.0,1.0,0.0,"RT @bbcwritersroom: Tomorrow, Wednesday 27th June is #NationalWritingDay! @writeday

As part of the events we're running a live Twitter Q&amp;A…",@BBC
0.0,5,Tue Jun 26 16:00:15 +0000 2018,0.0,1.0,0.0,🍅 You can grow tomatoes in Iceland?!   https://t.co/ndmcf1SL8y,@BBC
0.0,6,Tue Jun 26 14:52:03 +0000 2018,0.0,1.0,0.0,"RT @BBCWales: #ToProvideAllPeople: A star-studded film written by @OwenSheers to mark #NHS70.

Starring @MichaelSheen, @TeamEveMyles, @Pack…",@BBC
0.836,7,Tue Jun 26 14:32:33 +0000 2018,0.0,0.683,0.317,"RT @BBCRadio2: To celebrate the anniversary of 1988's second Summer of Love, @djgarydavies, @ZoeTheBall, and @MsAnaMatronic are heading to…",@BBC
0.6114,8,Tue Jun 26 13:12:16 +0000 2018,0.0,0.818,0.182,"RT @BBCR1: Happy Birthday, @ArianaGrande! 🎈✨

Here's a throwback to her offering some 10/10 relationship advice to callers on @R1Breakfast…",@BBC
0.0,9,Tue Jun 26 12:58:04 +0000 2018,0.0,1.0,0.0,"🚄😽🎀 Japan has unveiled a pink bullet train themed around the cartoon character #HelloKitty.
👉… https://t.co/uPA1cevSHt",@BBC
0.5267,10,Tue Jun 26 12:02:04 +0000 2018,0.0,0.673,0.327,"Activist
Poet
Director
Actor
Writer...

...and inspiration https://t.co/oOpo1fJV5K",@BBC
0.0,11,Tue Jun 26 11:02:03 +0000 2018,0.0,1.0,0.0,"🍕💐 Would you say 'I dough' to this pizza bouquet?
👉 https://t.co/HqnBOtPZlN https://t.co/BJqFMcpWKv",@BBC
0.0,12,Tue Jun 26 09:30:00 +0000 2018,0.0,1.0,0.0,"🌍♻️💥👊
What will your #PlasticsAction be? https://t.co/QQ1ZBgNyZN",@BBC
-0.2732,13,Tue Jun 26 08:00:16 +0000 2018,0.139,0.861,0.0,Turns out you're biased in all sorts of ways you may not realise. https://t.co/yZ0ziOfX2L,@BBC
-0.7717,14,Tue Jun 26 07:26:08 +0000 2018,0.295,0.705,0.0,"Seabirds are starving to death on the remote Lord Howe Island, a crew filming for the @BBCOne documentary… https://t.co/XHDOBZn5Yb",@BBC
0.5994,15,Tue Jun 26 07:00:12 +0000 2018,0.0,0.738,0.262,💕 Julie is the childcare champion in the heart of the Gorbals. https://t.co/LcdEhzyTBG,@BBC
0.3612,16,Mon Jun 25 18:03:04 +0000 2018,0.0,0.815,0.185,✨ These women are ditching their straighteners and embracing their natural hair. https://t.co/BTgEiHth2E,@BBC
0.0,17,Mon Jun 25 17:31:08 +0000 2018,0.0,1.0,0.0,Two teams of junior doctors from teaching hospitals around Britain go head to head in a medical-themed quiz show. 🏥… https://t.co/1z99Ax1RcK,@BBC
0.2732,18,Mon Jun 25 16:02:03 +0000 2018,0.0,0.769,0.231,"🙌😂 Well, that escalated quickly.
#HearHer #LiveAtTheApollo  https://t.co/4Bfa81zCSI",@BBC
-0.5524,19,Mon Jun 25 15:01:34 +0000 2018,0.229,0.771,0.0,RT @BBCTwo: SO much tension between Louis and the Queen! 😬👑🇫🇷 #Versailles https://t.co/mT2tDG3Hen,@BBC
0.3182,20,Mon Jun 25 14:57:32 +0000 2018,0.0,0.839,0.161,RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2,@BBC
0.5423,21,Mon Jun 25 13:48:41 +0000 2018,0.0,0.836,0.164,"RT @bbcarts: If you’re from the North this will make you well up with pride. ❤️
@lemnsissay delivers an impassioned reading of the poem he…",@BBC
0.636,22,Mon Jun 25 13:03:07 +0000 2018,0.0,0.656,0.344,"🐶😍 They're all beautiful in our eyes! 
#WorldsUgliestDog https://t.co/qrQgVqtwt4",@BBC
0.5719,23,Mon Jun 25 12:04:05 +0000 2018,0.0,0.802,0.198,🙌💪 @ChelseaClinton says it's time we rethink gender stereotypes and work harder to celebrate women. https://t.co/xgejAk33oK,@BBC
0.34,24,Mon Jun 25 11:01:03 +0000 2018,0.104,0.741,0.156,"📖✨🌲 From the Forbidden Forest at Hogwarts to Pooh's Hundred Acre Wood, here are six magical forests we love from ch… https://t.co/hCU6am8R3o",@BBC
0.0,25,Mon Jun 25 10:12:49 +0000 2018,0.0,1.0,0.0,"🌋 Lava from Hawaii's Kilauea volcano creeps closer to more homes. 
 https://t.co/NfFXiwtVy7",@BBC
-0.4215,26,Mon Jun 25 08:03:05 +0000 2018,0.128,0.872,0.0,This headteacher is budgeting to buy hygiene products for pupils as she's found some parents are struggling to affo… https://t.co/Bm4PrQ8ucC,@BBC
0.0,27,Mon Jun 25 07:26:06 +0000 2018,0.0,1.0,0.0,"🤖 What does it mean for AI to have a soul?
👉 https://t.co/OkxIzH9cA2 https://t.co/XcEYkoIbst",@BBC
-0.6486,28,Mon Jun 25 07:00:13 +0000 2018,0.301,0.699,0.0,Should we bring the woolly mammoth back from the dead? https://t.co/PASQyyoCXW,@BBC
0.0,29,Sun Jun 24 19:03:02 +0000 2018,0.0,1.0,0.0,"Follow the inner workings of @nytimes, one of the most prolific American media outlets, during the first 12 months… https://t.co/sTcKSPw5QW",@BBC
-0.5574,30,Sun Jun 24 18:32:03 +0000 2018,0.167,0.833,0.0,🚗 🇸🇦 Women in Saudi Arabia are hitting the road as the country's ban on women driving officially ends. https://t.co/RLv1njCk5t,@BBC
0.5994,31,Sun Jun 24 18:10:27 +0000 2018,0.0,0.755,0.245,"RT @BBCWthrWatchers: Beautiful ""night shining"" clouds, captured by our Weather Watchers #NoctilucentClouds https://t.co/FE9F3YQ3Kd",@BBC
-0.5267,32,Sun Jun 24 18:04:04 +0000 2018,0.195,0.805,0.0,"This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/AOmhtLjldy",@BBC
0.6705,33,Sun Jun 24 17:08:05 +0000 2018,0.078,0.658,0.263,"43% of female festival goers under 40 say they've faced unwanted sexual behaviour at a music festival, a new survey… https://t.co/Wd5gcaHCgH",@BBC
0.0,34,Sun Jun 24 16:02:06 +0000 2018,0.106,0.787,0.106,"Imagine waking up one morning and you've lost the ability to speak or move your hands.
(via @BBCThree) https://t.co/M8IJVGSoE7",@BBC
